text,indices
GRUPA KAPITAŁOWA NETIA S.A.,"{'entities': [(17, 27, 'company')]}"
Dla Akcjonariuszy i Rady Nadzorczej Netia S.A.,"{'entities': [(36, 46, 'company')]}"
Netia S.A. (zwanej dalej „Grupą”) sporządzonego przez Zarząd Netia S.A. (zwaną dalej „Jednostką dominującą”) z siedzibą w,"{'entities': [(0, 10, 'company'), (61, 71, 'company')]}"
"Warszawie przy ulicy Poleczki 13, obejmującego:","{'entities': [(21, 32, 'street_full')]}"
"Netia S.A. (zwana dalej ""Emitentem"", ""Netią"" lub ""Spółką"") została utworzona w 1990 roku jako spółka z ograniczoną","{'entities': [(0, 10, 'company')]}"
"Holdings S.A.” na “Netia S.A.” Siedziba Spółki znajduje się w Polsce, w Warszawie przy ulicy Poleczki 13. Emitent wraz ze","{'entities': [(19, 29, 'company'), (93, 104, 'street_full')]}"
ul. Wiertnicza 166,"{'entities': [(4, 18, 'street_full')]}"
"02-952 Warszawa, Polska","{'entities': [(0, 15, 'city_postal')]}"
ul. Emilii Plater 53,"{'entities': [(4, 20, 'street_full')]}"
PL-00-113 Warszawa,"{'entities': [(3, 18, 'city_postal')]}"
ul. Książęca 4,"{'entities': [(4, 14, 'street_full')]}"
31-035 Kraków,"{'entities': [(0, 13, 'city_postal')]}"
43-300 Bielsko-Biała,"{'entities': [(0, 20, 'city_postal')]}"
"Polsce, Kielce (25-528 Kielce ul Zagnańska 27) wpisanej do Krajowego Rejestru Sądowego pod","{'entities': [(33, 45, 'street_full'), (16, 29, 'city_postal')]}"
Pro – Equity Fund I S.A. (25-528 Kielce ul Zagnańska 27). W stosunku do akcji Echo zastosowana,"{'entities': [(43, 55, 'street_full'), (26, 39, 'city_postal')]}"
"z siedzibą w Kielcach, ul. Zagnańska 27, na które składa się:","{'entities': [(23, 39, 'street_full'), (27, 39, 'street_full')]}"
"Akcyjna z siedzibą w Polsce, Kielce (25-528 Kielce ul Zagnańska 27) wpisanej do Krajowego Rejestru","{'entities': [(54, 66, 'street_full'), (37, 50, 'city_postal')]}"
Informacja o Grupie Eldorado S.A.,"{'entities': [(20, 33, 'company')]}"
2. Informacja o Grupie Eldorado S.A.,"{'entities': [(23, 36, 'company')]}"
"Grupę kapitałową Eldorado stanowi Eldorado S.A. i cztery spółki zależne: Stokrotka Spółka z o.o., Infinite Spółka z","{'entities': [(34, 47, 'company')]}"
"Jednostką dominującą jest Eldorado S.A., zarejestrowana w Sądzie Rejonowym w Lublinie, Nr KRS 0000034566.","{'entities': [(26, 39, 'company')]}"
"siedzibą w Lublinie, ul. Metalurgiczna 30, obejmującego:","{'entities': [(25, 41, 'street_full')]}"
Eldorado S.A.,"{'entities': [(0, 13, 'company')]}"
7. Transakcje Eldorado S.A. z podmiotami powiązanymi dotyczące operacji sprzedaży – zakupu towarów i,"{'entities': [(14, 27, 'company')]}"
"Eldorado S.A. w dniu 21 czerwca 2005r. Kwota 2.123,2 tys. zł z zysku wypracowanego przez Eldorado S.A. została","{'entities': [(0, 13, 'company'), (89, 102, 'company')]}"
Żaden z Członków Rady Nadzorczej nie deklaruje posiadania akcji Eldorado S.A .,"{'entities': [(64, 77, 'company')]}"
"Zarząd Eldorado S.A. oświadcza, że wedle jego najlepszej wiedzy półroczne skonsolidowane sprawozdanie","{'entities': [(7, 20, 'company')]}"
"finansowego Grupy Kapitałowej Agora S.A. z siedzibą w Warszawie, ul. Czerska 8/10, na które","{'entities': [(69, 81, 'street_full')]}"
"ul. Chłodna 51, 00-867 Warszawa","{'entities': [(16, 31, 'city_postal')]}"
"Agora S.A. z siedzibą w Warszawie, ul. Czerska 8/10, na które składa się: bilans sporządzony na","{'entities': [(39, 51, 'street_full')]}"
"54-144 Wrocław, ul. Pilczycka 144-148","{'entities': [(20, 37, 'street_full'), (0, 14, 'city_postal')]}"
EMC INSTYTUT MEDYCZNY SA,"{'entities': [(0, 24, 'company')]}"
5.2. OPERACJE NA AKCJACH I OBLIGACJACH SPÓŁKI DOMINUJĄCEJ - COMARCH SA,"{'entities': [(60, 70, 'company')]}"
"Spółka Prochem S.A. z siedzibą w Warszawie, ul. Powązkowska 44c wpisana jest do","{'entities': [(48, 63, 'street_full')]}"
"1. Spółka Prochem S.A. z siedzibą w Warszawie, ul. Powązkowska 44c wpisana jest do","{'entities': [(51, 66, 'street_full')]}"
7. Prochem SA jest jednostką dominującą grupy kapitałowej oraz sporządza skonsolidowane,"{'entities': [(3, 13, 'company')]}"
ul. Klasyków 10,"{'entities': [(4, 15, 'street_full')]}"
• BAUMA S.A. spółka prawa handlowego z siedzibą w Warszawie przy ulicy Klasyków 10. W dniu,"{'entities': [(71, 82, 'street_full')]}"
• Bauma Kruszywa Sp. z o. o. z siedzibą w Warszawie przy ulicy Klasyków 10 powstała w dniu,"{'entities': [(63, 74, 'street_full')]}"
Bank Handlowy w Warszawie SA,"{'entities': [(0, 28, 'company')]}"
GRUPA KAPITAŁOWA TECHMEX S.A.,"{'entities': [(17, 29, 'company')]}"
FINANSOWEGO TECHMEX S.A. ....................................................................................................................................................................1,"{'entities': [(12, 24, 'company')]}"
